"id_emprestimo";"codigo_barras";"data_renovacao";"data_emprestimo";"data_devolucao";"matricula_ou_siape";"nome_usuario";"tipo_vinculo_usuario"
"19785";"L002813_19/12/2016 12:52:08";"";"2000/08/21 09:32:00.000000000";"2000/08/21 09:32:00.000000000";"";"Usuário de Migração";"OUTROS"
"19786";"L033818";"";"2000/08/14 19:35:00.000000000";"2000/08/14 19:37:00.000000000";"";"Usuário de Migração";"OUTROS"
"19787";"L033820";"";"2000/08/17 11:45:00.000000000";"2000/08/17 11:45:00.000000000";"";"Usuário de Migração";"OUTROS"
"19788";"L033820";"";"2000/08/17 11:49:00.000000000";"2000/08/17 11:50:00.000000000";"";"Usuário de Migração";"OUTROS"
"19789";"L033820";"";"2000/08/17 11:58:00.000000000";"2000/08/17 12:15:00.000000000";"";"Usuário de Migração";"OUTROS"
"19809";"L124029";"";"2000/08/24 16:54:00.000000000";"2000/08/24 16:55:00.000000000";"";"Usuário de Migração";"OUTROS"
"19810";"L124029";"";"2000/08/24 17:07:00.000000000";"2000/08/24 17:07:00.000000000";"";"Usuário de Migração";"OUTROS"
"19811";"L124029";"";"2000/08/24 16:55:00.000000000";"2000/08/24 16:56:00.000000000";"";"Usuário de Migração";"OUTROS"
"19816";"L155645";"";"2000/08/14 19:48:00.000000000";"2000/08/14 19:49:00.000000000";"";"Usuário de Migração";"OUTROS"
"19817";"L155645";"";"2000/08/14 20:22:00.000000000";"2000/08/14 20:24:00.000000000";"";"Usuário de Migração";"OUTROS"
"19818";"L155645";"";"2000/08/16 21:15:00.000000000";"2000/08/16 21:19:00.000000000";"";"Usuário de Migração";"OUTROS"
"19819";"L155645";"";"2000/08/24 16:55:00.000000000";"2000/08/24 16:56:00.000000000";"";"Usuário de Migração";"OUTROS"
"19820";"L155645";"";"2000/08/24 17:07:00.000000000";"2000/08/24 17:07:00.000000000";"";"Usuário de Migração";"OUTROS"
"19821";"L155645";"";"2000/08/24 16:54:00.000000000";"2000/08/24 16:55:00.000000000";"";"Usuário de Migração";"OUTROS"
"19822";"L155645";"";"2000/08/14 20:36:00.000000000";"2000/08/14 20:50:00.000000000";"";"Usuário de Migração";"OUTROS"
"19823";"L155645";"";"2000/08/14 20:21:00.000000000";"2000/08/14 20:21:00.000000000";"";"Usuário de Migração";"OUTROS"
"19824";"L155645";"";"2000/08/14 20:22:00.000000000";"2000/08/14 20:22:00.000000000";"";"Usuário de Migração";"OUTROS"
"19825";"L156752";"";"2000/08/14 19:55:00.000000000";"2000/08/14 19:56:00.000000000";"";"Usuário de Migração";"OUTROS"
